FST,DPS,DISTANCE,DEPTH_F,HLI_F,CTI_F,DEPTH_T,HLI_T,CTI_T,hli,cti,dd5,err27,rsp,ridge,hab_ratio
0.216155,0.30506,3475.34,5.700000001,1174,4.995123402,1.860000001,1265,7.475525898,2161.24,5.280000001,545.1700002,0.49,48.39000001,0.02,0.000217391
0.063974,0.29711,2685.400001,1.860000001,1265,7.475525898,3.08,1332,17.5767098,1708.6,5.629999999,531.2700002,0.41,49.53000002,1.00E-04,0.000149254
0.044216,0.16809,1529.969999,6.030000002,1307,8.520578401,3.299999998,1294,5.179369501,1629.149999,5.920000001,578.7499998,0.38,41.09,0.01,0.000108696
0.267164,0.54727,7760.240004,6.030000002,1307,8.520578401,1.00E-04,1245,4.845000701,1874.22,5.620000001,485.9199999,0.41,44.14000001,0.05,0.000227273
0.0246,0.19543,172.57,6.030000002,1307,8.520578401,1.980000001,1309,8.144791596,1304.83,7.440000001,591.45,0.15,6.500000001,1.00E-04,0.000120482
0.018628,0.26949,1755.94,6.030000002,1307,8.520578401,3.070000001,1170,6.675704501,1856.77,5.370000003,587.3299997,0.38,54.96,0.01,0.000107527
0.1811,0.39815,6349.379998,6.030000002,1307,8.520578401,3.570000001,1344,5.836809599,1914.079999,5.810000001,515.2100002,0.37,34.18000001,0.01,0.000178571
0.233912,0.42445,6458.450001,6.030000002,1307,8.520578401,2.000000001,1525,5.3280978,1755.380001,5.96,515.1799999,0.39,39.74,0.06,0.000144928
0.293583,0.47604,7421.239999,6.030000002,1307,8.520578401,2.000000001,1451,6.376057101,1958.07,5.989999999,512.69,0.4,44,0.04,0.000192308
0.117798,0.20123,1019.55,4.700000001,1262,9.949107205,6.030000002,1307,8.520578401,2058.020001,5.820000001,519.7900001,0.35,38.99999999,0.02,0.00125
0.00185,0.17664,2132.65,6.030000002,1307,8.520578401,8.000000003,1269.999999,7.547134902,1702.12,5.820000001,564.1400002,0.42,39.76999999,0.01,0.000111111
0.176838,0.40851,6338.030003,6.030000002,1307,8.520578401,3.000000001,1329,8.945763596,1779.190001,5.780000002,521.1400002,0.45,47.89999998,0.04,1.538461538
0.157464,0.23851,1025.74,2.000000001,1210,6.526194999,6.030000002,1307,8.520578401,1721.54,5.890000002,551.43,0.37,45.93999999,0.02,0.000121951
0.168076,0.26057,1757.560001,3.890000001,1548,9.763032001,6.030000002,1307,8.520578401,1961.010001,5.670000001,526.5000002,0.42,47.31999999,0.06,0.000212766
